"X","hotel_name","clean_score","location_score","service_score","room_score","money_score","food_score","transport_score","facilities_score","culture_score","joy_score","Hotel_Address","Average_Score","Total_Number_of_Reviews","lat","lng","country","id"
"768","Hotel Santa Marta Suites",0.129032258064516,0.0860215053763441,0.043010752688172,0.204301075268817,0.043010752688172,0.236559139784946,0.043010752688172,0.021505376344086,0.010752688172043,0.032258064516129,"Via Santa Marta 4 Milan City Center 20123 Milan Italy",9.2,549,45.4630441,9.183607,"Italy",1399
"769","Hotel SB Diagonal Zero Barcelona 4 Sup",0.111913357400722,0.036101083032491,0.0072202166064982,0.115523465703971,0.0433212996389892,0.263537906137184,0.0252707581227437,0.0144404332129964,0,0.0397111913357401,"Pla a de Llevant s n Sant Mart 08019 Barcelona Spain",8.2,4645,41.4111652,2.2192012,"Spain",1172
"770","Hotel SB Icaria Barcelona",0.109848484848485,0.0303030303030303,0.00757575757575758,0.0946969696969697,0.0606060606060606,0.265151515151515,0.0113636363636364,0.00757575757575758,0,0.0189393939393939,"Avinguda Icaria 195 Sant Mart 08005 Barcelona Spain",8,3633,41.3935591,2.1993915,"Spain",821
"771","Hotel Schani Wien",0.148305084745763,0.0254237288135593,0.0169491525423729,0.148305084745763,0.0677966101694915,0.26271186440678,0.0466101694915254,0.0127118644067797,0,0.038135593220339,"Karl Popper Stra e 22 10 Favoriten 1100 Vienna Austria",8.8,2464,48.1824271,16.3808291,"Austria",1015
"772","Hotel Schild",0.188679245283019,0.0377358490566038,0,0.169811320754717,0.0566037735849057,0.264150943396226,0,0,0,0,"Neustift am Walde 97 99 19 D bling 1190 Vienna Austria",7.9,939,48.251195,16.2989165,"Austria",1092
"773","Hotel Scribe Paris Opera by Sofitel",0.134615384615385,0.134615384615385,0.0384615384615385,0.153846153846154,0.0384615384615385,0.0769230769230769,0,0,0.0192307692307692,0.0192307692307692,"1 Rue Scribe 9th arr 75009 Paris France",8.6,705,48.8704175,2.3296832,"France",23
"774","Hotel Serhs Rivoli Rambla",0.12,0.0333333333333333,0.02,0.0933333333333333,0.0866666666666667,0.0866666666666667,0.0133333333333333,0.0133333333333333,0,0.0266666666666667,"La Rambla 128 Ciutat Vella 08002 Barcelona Spain",8.1,1957,41.3843222,2.1712893,"Spain",1029
"775","Hotel Sezz Paris",0.111111111111111,0.111111111111111,0,0.111111111111111,0,0,0,0,0,0,"6 Avenue Fr miet 16th arr 75016 Paris France",8.4,132,48.8566336,2.2852607,"France",614
"776","Hotel Silver",0.166666666666667,0.111111111111111,0,0.111111111111111,0.0555555555555556,0.5,0,0,0,0,"Via Riccardo Lombardi 9 11 20153 Milan Italy",8.4,213,45.4589731,9.0687506,"Italy",1392
"777","Hotel Spa La Belle Juliette",0.25,0.142857142857143,0.0357142857142857,0.25,0.142857142857143,0.285714285714286,0,0,0,0.0357142857142857,"92 Rue Du Cherche Midi 6th arr 75006 Paris France",8.9,303,48.8474426,2.3223783,"France",759
"778","Hotel Spa Villa Olimpica Suites",0.187845303867403,0.0331491712707182,0.0220994475138122,0.198895027624309,0.0497237569060773,0.259668508287293,0.0386740331491713,0.00552486187845304,0,0.0220994475138122,"Pallars 121 125 Sant Mart 08018 Barcelona Spain",8,3565,41.3971434,2.1921947,"Spain",1115
